"gene.id" "hgnc_symbol" "chromosome_name" "logFC" "logCPM" "LR" "PValue" "FDR"
"ENSG00000176978" "ENSG00000176978" "DPP7" "9" 0.55680583425537 6.24518153449176 34.7913312772651 3.67003958880514e-09 3.52079131219373e-06
"ENSG00000159884" "ENSG00000159884" "CCDC107" "9" 1.70314098394023 1.14168570982768 34.2342440234133 4.88615422356755e-09 4.4407426911876e-06
"ENSG00000102109" "ENSG00000102109" "PCSK1N" "X" 1.69232670095004 0.263082459170908 33.8482407823353 5.95829451774985e-09 5.14439148662522e-06
"ENSG00000090006" "ENSG00000090006" "LTBP4" "19" 0.597318549486385 5.82628524766391 33.2892133865814 7.94219550419563e-09 6.53075390316429e-06
"ENSG00000178531" "ENSG00000178531" "CTXN1" "19" 1.36784012595637 1.26042192585642 33.0810497092543 8.83960745336955e-09 6.87994881538144e-06
"ENSG00000006118" "ENSG00000006118" "TMEM132A" "11" 0.412578734388022 5.12141645594327 32.9895328080683 9.26563750780308e-09 6.87994881538144e-06
"ENSG00000181649" "ENSG00000181649" "PHLDA2" "11" 3.24255562545789 -0.636230348629308 32.9282974916449 9.56212483027302e-09 6.87994881538144e-06
"ENSG00000171223" "ENSG00000171223" "JUNB" "19" 0.766119691210877 3.58920205450311 32.5582596689177 1.15672492167128e-08 7.98973037896786e-06
"ENSG00000269688" "ENSG00000269688" "" "19" 1.26325841896489 1.09358482719717 32.4325802523815 1.23400159383413e-08 8.06896593448535e-06
"ENSG00000122386" "ENSG00000122386" "ZNF205" "16" 0.75287327483065 2.33807682993614 32.3895176679332 1.26165207453732e-08 8.06896593448535e-06
"ENSG00000103254" "ENSG00000103254" "ANTKMT" "16" 1.06012413603255 2.20745376478764 32.0226746722251 1.5238350596407e-08 9.39770850352701e-06
"ENSG00000167962" "ENSG00000167962" "ZNF598" "16" 0.606259040556144 5.18721280966581 31.1592145584817 2.37708298759648e-08 1.41542996654538e-05
"ENSG00000105722" "ENSG00000105722" "ERF" "19" 0.490391976617728 5.29463533902726 30.5806806799376 3.20266989533569e-08 1.84345679175522e-05
"ENSG00000258429" "ENSG00000258429" "PDF" "16" 3.45971293251039 -1.66677590152227 30.3093594017431 3.68344238751526e-08 2.05179623056818e-05
"ENSG00000011132" "ENSG00000011132" "APBA3" "19" 0.516258651403283 3.93821832808254 29.5784229247454 5.36993988255753e-08 2.89775380912511e-05
"ENSG00000131591" "ENSG00000131591" "C1orf159" "1" 0.672431059406567 3.90228920768001 29.4397514379208 5.76822646050384e-08 3.01835559151455e-05
"ENSG00000107816" "ENSG00000107816" "LZTS2" "10" 0.367724748795342 5.87222566532627 29.3079472091407 6.17419544370005e-08 3.13576490946507e-05
"ENSG00000161677" "ENSG00000161677" "JOSD2" "19" 0.932924515323208 3.21737262957144 29.1321502096399 6.76057383587267e-08 3.33547397136712e-05
"ENSG00000115266" "ENSG00000115266" "APC2" "19" 0.711912764038562 2.95506903174208 28.9912637522896 7.27054492454001e-08 3.48743804880436e-05
"ENSG00000188157" "ENSG00000188157" "AGRN" "1" 0.616826136604604 8.16390078704898 28.5398387928608 9.17902700664165e-08 4.18724201390356e-05
"ENSG00000063660" "ENSG00000063660" "GPC1" "2" 0.474418767865092 6.14691381392589 28.5323801085984 9.21445428123322e-08 4.18724201390356e-05
"ENSG00000211450" "ENSG00000211450" "SELENOH" "11" 0.76580563262196 4.24876868673923 28.3759905691164 9.98965768952651e-08 4.42311305083958e-05
"ENSG00000100300" "ENSG00000100300" "TSPO" "22" 0.601658929466837 6.20377261513028 28.1903505782027 1.0995135758871e-07 4.74660010710461e-05
"ENSG00000099795" "ENSG00000099795" "NDUFB7" "19" 0.614051839193025 5.66578407160972 28.0996544391898 1.15226431816223e-07 4.78888713427193e-05
"ENSG00000103326" "ENSG00000103326" "CAPN15" "16" 0.792844203997898 5.11107778715578 28.0787559753525 1.16477449408977e-07 4.78888713427193e-05
"ENSG00000265982" "ENSG00000265982" "" "17" 3.08296903405442 -0.829167778479586 27.8217629155747 1.33021356405249e-07 5.34189019164148e-05
"ENSG00000060491" "ENSG00000060491" "OGFR" "20" 0.506292366515962 6.98529576470058 27.5957295786746 1.49508484636216e-07 5.86752843795042e-05
"ENSG00000050820" "ENSG00000050820" "BCAR1" "16" 0.541061859183535 6.57239035282061 27.5350282895445 1.54274966659853e-07 5.86938218842233e-05
"ENSG00000065054" "ENSG00000065054" "SLC9A3R2" "16" 0.680967071874935 7.65945015869302 27.5091418483567 1.56353706664018e-07 5.86938218842233e-05
"ENSG00000243449" "ENSG00000243449" "C4orf48" "4" 1.11725611724081 1.81612343726695 27.2168805420841 1.81863866974251e-07 6.68175586151354e-05
"ENSG00000260001" "ENSG00000260001" "TGFBR3L" "19" 2.0822811516634 -0.419618359879495 26.9988264461678 2.03579024281707e-07 7.3237553985344e-05
"ENSG00000152082" "ENSG00000152082" "MZT2B" "2" 0.943688790224946 4.52929677761514 26.9082673897363 2.13344325664443e-07 7.50612868043038e-05
"ENSG00000161847" "ENSG00000161847" "RAVER1" "19" 0.777541014745491 4.98112038576957 26.8723862467944 2.17342155444475e-07 7.50612868043038e-05
"ENSG00000173153" "ENSG00000173153" "ESRRA" "11" 0.428592357133331 4.98339211189966 26.3514007313545 2.84612425841821e-07 9.63664190085601e-05
"ENSG00000127564" "ENSG00000127564" "PKMYT1" "16" 0.709287050359629 4.88193513124253 25.8665296197919 3.65858225719366e-07 0.000121493073879269
"ENSG00000165644" "ENSG00000165644" "COMTD1" "10" 0.765288253204271 2.47103668898048 25.5473577514446 4.3165676326301e-07 0.000140638660151427
"ENSG00000126705" "ENSG00000126705" "AHDC1" "1" 0.442795486238011 4.94796555946362 25.3143145930958 4.87080564976702e-07 0.000152365390999945
"ENSG00000160256" "ENSG00000160256" "FAM207A" "21" 0.69388294901914 2.87600612406296 25.2953230001666 4.91900043249169e-07 0.000152365390999945
"ENSG00000172889" "ENSG00000172889" "EGFL7" "9" 0.560538924330145 4.09557651694844 25.2866382380992 4.94119868890254e-07 0.000152365390999945
"ENSG00000131188" "ENSG00000131188" "PRR7" "5" 1.02344024927302 2.20802234749949 25.2298592417877 5.08882132003239e-07 0.000154164502726876
"ENSG00000160446" "ENSG00000160446" "ZDHHC12" "9" 0.553844377253411 5.04391565427318 25.1565488650139 5.28598432215309e-07 0.000157376512542999
"ENSG00000130758" "ENSG00000130758" "MAP3K10" "19" 0.527318142447036 3.45937476194445 25.0665754112629 5.53846076948881e-07 0.000162098543334801
"ENSG00000104866" "ENSG00000104866" "PPP1R37" "19" 0.359533989521849 5.25620591341515 24.6175671257022 6.9911501473836e-07 0.0002012053012417
"ENSG00000103266" "ENSG00000103266" "STUB1" "16" 0.538838683601929 4.24899432058886 24.4586770258708 7.59208143620621e-07 0.000214918134820342
