"Peak_ID","Compound_Name","mz_mean","mz_diff_ppm","RT_diff","Adduct","Synonym","Chem_Sum_Formula","Exact_Mass","Lipid_Class","FA_composition","R1_24D","R2_24D","R3_24D","R5_24D","R6_24D","R1_24M","R2_24M","R3_24M","R5_24M","R6_24M","R1_48D","R2_48D","R3_48D","R5_48D","R6_48D","R1_48M","R2_48M","R3_48M","R5_48M","R6_48M","R1_72D","R2_72D","R3_72D","R5_72D","R6_72D","R1_72M","R2_72M","R3_72M","R5_72M","R6_72M"
"LP_27026","PC 38:5",808.5818416,NA,NA,"[M+H]+",NA,"C46H82NO8P","807.577807","Phosphatidylcholine","16:0/22:5",9386552,32258224,25394344,38813504,40134136,12938796,28708260,36840328,32511352,38656560,19505064,31415500,40458408,41655968,43546000,16405556,24452056,44202848,40644440,41968952,17587428,47127144,42582600,51260008,42640340,18512260,42059504,45679648,48084632,48175608
"LP_27027","PC 38:5",808.5825026,NA,NA,"[M+H]+",NA,"C46H82NO8P","807.577807","Phosphatidylcholine","18:1/20:4",55313132,115179488,105488784,131645296,130517936,61670344,119085920,131773776,102138896,117578016,50672488,54429536,82089552,67984680,76684288,47383860,49618536,88659072,81860688,78686144,30337372,51900288,62635520,64947656,51841736,29728060,56347856,68156376,61268552,63188600
"LP_27028","PC 38:5",808.5827333,NA,NA,"[M+H]+",NA,"C46H82NO8P","807.577807","Phosphatidylcholine","18:0/20:5 | 18:1/20:4",2330668,29370424,12431144,30687544,53459688,2716082,33172488,46618456,34954448,45839864,17217152,43889304,70349224,49694528,54149792,14068452,42032528,78043824,37953480,70091344,31512840,49978936,66785864,47870584,37539496,29770812,52860264,70031000,55120440,69990904
"LP_27084","TAG 47:1",808.7368146,NA,NA,"[M+NH4]+",NA,"C50H94O6","790.70504","Triacylglyceride","15:0/16:0/16:1 | 14:0/15:0/18:1 | 15:0/15:0/17:1 | 14:0/16:0/17:1 | 14:0/16:1/17:0 | 15:1/16:0/16:0 | 14:0/15:1/18:0 | 13:0/16:0/18:1 | 15:0/15:1/17:0 | 13:0/17:0/17:1 | 12:0/17:0/18:1 | 13:0/16:1/18:0",2115339,3758109,3366444,5460242,6961491,2626724,4120327,5040482,5059473,6258680,2420360,2735999,3495588,2841752,4316962,2648096,2390946,4503196,4021877,4376915,1961576,1640171,2384574,2759109,2687970,2126058,1923551,2655649,2432082,3321304
"LP_27237","PC 38:4",810.5981874,NA,NA,"[M+H]+",NA,"C46H84NO8P","809.593457","Phosphatidylcholine","18:0/20:4",158055663,328778047,276570239,368811201,421289024,166162496,344651521,429071168,287648896,347266624,195990192,266358624,380244223,308171520,321080000,196863440,226208848,386065793,293082432,348750465,154607056,234859791,294575489,250989263,210260624,157246416,246316047,305004479,254732049,319732864
"LP_27257","GlcCer(d18:1/24:1)",810.6803727,NA,NA,"[M+H]+",NA,"C48H91NO8","809.674469","Ceramide",NA,2895647,5679116,4991267,8713370,10022913,3300919,6680146,7049259,6927802,7942582,4085041,3343842,5279750,5570542,5652430,3475548,3548144,6273152,4884443,7324025,4253138,3274816,5585914,4929550,2640074,3543250,3768916,4781323,5113976,7511669
"LP_27284","TAG 47:0",810.7520765,NA,NA,"[M+NH4]+",NA,"C50H96O6","792.72069","Triacylglyceride","15:0/16:0/16:0 | 14:0/16:0/17:0 | 15:0/15:0/17:0 | 14:0/15:0/18:0 | 13:0/16:0/18:0 | 13:0/17:0/17:0",3864624,4319246,4343984,5683050,9509561,4051240,5812292,6399975,6233513,5616006,4466456,4853168,5046294,6399084,6494908,4286982,4176816,6212488,6113589,6310956,3953596,4177873,5051308,5732758,5317060,3654346,4834646,4459519,4625362,7322136
"LP_27398","PE 42:10",812.5197505,NA,NA,"[M+H]+",NA,"C47H74NO8P","811.515207","Phosphatidylethanolamine","20:4/22:6",241674,735751,727592,1123376,1208802,213481,587156,725494,611538,798821,313352,579412,1056999,757619,1129112,219106,486910,916000,880003,934814,341003,455010,1075519,1187275,336844,231613,797432,871514,891012,926398
"LP_27435","PC 38:3",812.6141264,NA,NA,"[M+H]+",NA,"C46H86NO8P","811.609107","Phosphatidylcholine","18:0/20:3 | 16:0/22:3 | 18:1/20:2",34212724,102027280,78884896,117334240,143428304,38816720,92778592,129693528,96289704,118200168,53338532,93706952,143564720,107646112,133827784,51916484,88475520,166790416,111782016,136756240,60663620,104537832,136334576,112275984,85520960,57492920,113523480,141829264,119238952,150385520
"LP_27455","GlcCer(d18:1/24:0)",812.6951527,NA,NA,"[M+H]+",NA,"C48H93NO8","811.690119","Ceramide",NA,10038813,2375065,7670325,3027671,6905496,10673193,16219112,9681212,11839052,1769096,13620080,2766596,978217,13435306,513637,11632168,3899981,725858,1920241,2618787,11261652,924478,1584944,939200,10129788,12244798,528531,603714,730511,2276671
"LP_27560","SM 42:2",813.6828333,NA,NA,"[M+H]+",NA,"C47H93N2O6P","812.677126","Sphyngomyelin",NA,4539000,16621682,12511668,17239384,21884476,5039355,15458447,22589174,11217388,19206574,7518207,12026829,28567516,13293852,23915336,6699794,10540646,30095968,14374289,25701776,7750758,14772980,31241212,27784276,10434772,6884986,22232348,29604308,25122404,29345102
"LP_27831","PC 38:1",816.6458503,NA,NA,"[M+H]+",NA,"C46H90NO8P","815.640407","Phosphatidylcholine","18:0/20:1 | 16:0/22:1",1010674,5945169,3639184,8796557,10989376,1210466,4798400,7742156,6194840,8631188,2232543,5033774,9492862,8842103,11928132,1739743,4973296,11092018,6501782,13515544,2793176,7262572,12009804,11032668,4488429,2383052,10112218,9346344,9809126,14846012
"LP_27842","TAG 48:4",816.706134,NA,NA,"[M+NH4]+",NA,"C51H90O6","798.67374","Triacylglyceride","14:0/14:0/20:4",181192,443189,410397,455736,612934,278839,459434,549711,478314,620612,242619,137018,177014,138455,243103,276102,142526,276870,250944,280499,95837,94593,121986,100855,140943,115209,96973,139213,86334,193775
"LP_27911","SM 42:0",817.7140492,NA,NA,"[M+H]+",NA,"C47H97N2O6P","816.708426","Sphyngomyelin",NA,602901,532209,653562,664906,1216634,496828,1016423,1048568,853683,466752,981008,711705,724894,1228319,603649,592831,583662,643936,435624,861494,1023741,476585,1009174,370155,1055247,646875,230061,443457,407502,991179
"LP_27944","PC 39:7",818.5667436,NA,NA,"[M+H]+",NA,"C47H80NO8P","817.562157","Phosphatidylcholine","17:1/22:6",381522,2134991,1760346,3432264,4196382,448318,1565342,2492307,2389113,3742227,679816,2660360,3871548,3475539,4537252,609973,2115820,4280187,4242507,3888300,1109021,2575578,3781244,3420884,2550098,982831,2935378,3114450,3425388,3696245
"LP_27984","TAG 48:3",818.7213152,NA,NA,"[M+NH4]+",NA,"C51H92O6","800.68939","Triacylglyceride","16:1/16:1/16:1 | 16:0/16:1/16:2 | 14:0/16:2/18:1 | 16:0/16:0/16:3",316319,753193,686784,589814,840477,365792,750278,824488,515996,684506,487779,165184,332279,190441.24,269075,545383,158893,480371,249029,356440,178813,51341.78,123029,104092,80763.45,278036,63325.24,116569,86551.23,159126.62
"LP_28098","PC 39:6",820.5820184,NA,NA,"[M+H]+",NA,"C47H82NO8P","819.577807","Phosphatidylcholine","17:1/22:5",495958,1864718,1467804,1810614,2182458,528321,1713020,1924497,1681863,2137170,819910,1402897,2442892,1545348,2117366,753801,1269073,2386194,1878366,2175091,924456,996456,1801744,1327859,919337,1017591,1105886,1358077,1261744,1253600
